userWallet,total_borrowed_usd,total_repaid_usd,net_debt_usd
0x005a945c426fe1f2eb3c4b04585a2427f7a032a8,0.0,0.0,0.0
0x005ab5979532d34dc60a4582597464df0b5a7c87,0.0,0.0,0.0
0x005ae07a1782019253917d76334a0579ac3a9b64,0.0,0.0,0.0
0x005b0743d8b2ed646499dc48b64b95e71b8afa43,0.0,0.0,0.0
0x005b35993837ffbc6ebfa08d2e4ac40fdb0a63d1,0.0,0.0,0.0
0x005b8864b832d250e97996febb2b6a10b4562fd1,0.0,0.0,0.0
0x005bf9036a459545ec86252db2a37667a5823b94,0.0,0.0,0.0
0x005c7aa4001747cd4bf25c777318a13191a182ac,0.0,0.0,0.0
0x005ce3720edd52ef800ed68bfe29114a7d86e623,0.0,0.0,0.0
0x005d9ffbbd210f6b04d7f0880f5c49130d38ff0d,0.0,0.0,0.0
0x005e5cac6eb7637edf689403e01b86bda451ef61,0.0,0.0,0.0
0x005f16f017aa933bb41965b52848ceb8ee48b171,0.0,0.0,0.0
0x005f4ed154aec7b147190c97d3f2535fc8360b12,0.0,0.0,0.0
0x005fe34dfd8c3b7994d608a374cedcc44b73e0bd,0.0,0.0,0.0
0x00626b79d2972dfd10463e1871f8edcf8aae5bb3,0.0,0.0,0.0
0x0062cb1c249a8579e155794dc86960e4f88af402,0.0,0.0,0.0
0x0063d9477fd76b7c9732917b3b884d918607a804,0.0,0.0,0.0
0x00645dd21310882cc32399abcb54e0a05b3b5d1d,0.0,0.0,0.0
0x0064f7e15fdf96a5225d4cc07b38eef45c8bdc46,0.0,0.0,0.0
0x006501f106d155981aac18b4d31a6e14d1e55fae,0.0,0.0,0.0
0x006551b8f041761e2e47bb4792b21e67786b3452,0.0,0.0,0.0
0x00668293095ef3ba3a62d566e2ac83fb81aec94f,0.0,0.0,0.0
0x00677d8b6fda25b199539633a8cd07074c855cb7,0.0,0.0,0.0
0x00694ba9219891081e07b31ebaf19abfd97e1acb,0.0,0.0,0.0
0x006acbf79f7c4580fa01ffa48085d832592f1b63,0.0,0.0,0.0
0x006d0cf97d1aef07271dcce6d0bd60e8d98966ec,0.0,0.0,0.0
0x006d0f31a00e1f9c017ab039e9d0ba699433a28c,0.0,0.0,0.0
0x006d1df30df75bfa607f41b3a4d67d4be51fe910,0.0,0.0,0.0
0x006f26845ed58e4503a0dd61c69708e3cc028cc5,0.0,0.0,0.0
