wallet,totalDepositedUSD,totalBorrowedUSD,totalRepaidUSD,totalWithdrawnUSD,activityCount,uniqueTokens,creditScore
0x00183135585d70a523d61b2e43037a7138b36906,1468258102142440.8,3849.7900537521605,1709.0734256336661,0,54,6,309.61867144217575
0x00184e8aa1e95f491f2d9601e12b540092160ded,102305711108000.08,24.98479710580002,24.98479710580002,0,4,2,300.6702125602933
0x0018583d7654803d2c59467e10dec5f70bbe1851,260583128.62381077,0.0,0.0,0,72,3,300.00000170710024
0x001875a076b3cfe1c9535d76b0345c16e3d61118,2.259609878203448,0.0,0.0,0,2,1,300.00000000000006
0x0018d044b946ede86b43bb3b964a45772a5abeb9,2116131815650.068,1.1215514727063227,1.121345368530205,0,22,3,300.01386294183123
0x0019971fb18fbfc9108d90eb2cdd4d5a0a897eee,0.0,79.00412443596895,158.72329212505053,0,5,3,300.0000000000006
0x0019bd9f6142943f3a03a8a62d0001a95213f555,0.1266083922640406,0.0,0.0,0,1,1,300.0
0x001b024b98ee862aa01eea595c4c16a0213d2611,901.2925262863051,498.74059439622636,0.0,0,2,2,300.00000000000136
0x001bc3cfc3eed892dd6de07807333f2b05c5b4e9,407.79274415290837,234.8782142990087,235.2622310010467,0,32,3,300.0000000000025
0x001bc97d92e1a30b02d4e75be25f06063555d556,1.1472342231228867e+17,54445.837409092936,54503.63129933802,0,45,4,850.0
0x001be549fa377710b9e59d57bbdf593ce1e379ca,16.47047136709072,0.0,0.0,0,2,2,300.00000000000017
0x001c88d92d199c9eb936ed3d6758da7c48e4d08e,1.822345610280172,0.0,0.0,0,2,2,300.00000000000006
0x001d2a3192a49e28cac0a7abcaa916648c62b982,1.5659901853326883,0.0,0.0,0,1,1,300.00000000000006
0x001d4aa3f14b6e0019e5615e9c8eb50659061220,1.1337851305503868,0.0,0.0,0,1,1,300.00000000000006
0x001f96b7e19a54ae45f451b0148336504d03fdcf,5.666408226639781e-10,0.0,0.0,0,1,1,300.0
0x001fbfc5e2b56d372d642f5f1b52b5cde4584779,1196.3032316799445,0.0,0.0,0,6,2,300.0000000000079
0x00202f8f6bb6f100241ce0726922f2bd4c7196ee,0.02360514637371101,0.0,0.0,0,1,1,300.0
0x0020c5222a24e4a96b720c06b803fb8d34adc0af,0.0,0.0,0.0,0,1,1,300.0
0x0021be1d33a577bf5ede730a6b5d5d9f878ba7e4,1157956333789.6023,0.0,0.0,0,2,2,300.0075858607577
0x00222d56e0509a5e9ab05c588c548290a5e9f876,1.10570237623672,0.0,0.0,0,1,1,300.00000000000006
0x002379916ac42a432f3b53f16782d33267debb4c,1.1886507952922616,0.0,0.0,0,1,1,300.00000000000006
0x0023aa0d5d1675d6ccbe0aff5d6afdd0bc61d2be,2.259609878203448,0.0,0.0,0,2,1,300.00000000000006
0x0023d9ffe7d793895c5da5833d56c737832ead2b,15.189578905507386,0.0,0.0,0,2,1,300.0000000000001
0x0023e0f24acc95e838f76f81ab3d69e40b9b1933,5.129981410556754,0.0,0.0,0,1,1,300.00000000000006
0x0023f4cbb5d47ef377af97fc5c7399b62e31e0ff,3.1033054982620953,0.0,0.0,0,2,1,300.00000000000006
0x0024461e7a8ce7157866eaa4c24b702d328250ce,0.0,0.0,0.0,0,1,1,300.0
0x0024511a019f836ddd88902bb516b4f0b3a2dcf9,0.026044090290244567,0.0,0.0,0,1,1,300.0
0x00246f7813397868b1beec56e1677efa47816dae,7438978.731874706,5816299.44346321,5472177.71761479,0,44,1,300.00000003840756
0x0025a856d01a898bd52286d56c52323b13937b65,0.1422024974218183,0.0,0.0,0,1,1,300.00000000000006
0x00261d225db379b3fc74cd0228d6f90582d39035,0.032239917783138006,0.004713438272388597,0.0,0,2,1,300.00000000000006
0x00262ffcfda82b5582d1905ca05b849f196b0419,101.41967361600112,57.24285810787879,56.95340624693983,0,10,2,300.0000000000006
0x0026bc865efa2fb74d18c3be5a77c780756e50e6,0.16209142428199927,0.0,0.0,0,1,1,300.00000000000006
0x002729e3173b9fc6abcf03eb2d754b0e2ae4edbd,1.8629892980475518,0.0,0.0,0,1,1,300.00000000000006
0x002761f50e9c9e98e4ca367ef215f3643eec9dd9,0.2045908664031135,0.0,0.0,0,1,1,300.00000000000006
0x002775390698ef16589bb22bba37ae7906ae2f36,79707008396228.6,65984186862546.664,2044428440372.567,0,30,5,300.0
0x0027c6cd01364a3c5d29f72269b36dfe85628193,1.8864509259060724,0.0,0.0,0,1,1,300.00000000000006
0x0027f7335d610f15b325baa5798414548720fcaa,5708.1980037841895,1568.6763662421108,1571.6110933811847,0,13,2,300.0000000000354
0x00283b611db7844cb5677b311afd67c8e3078518,7.20152067392015,0.0,0.0,0,1,1,300.00000000000006
0x00296e3cb10f1ddf6be160aa9722d7a288957b66,0.03737532010034612,0.0,0.0,0,1,1,300.0
0x0029ab135b5be72168bf80f140d60a9264dbd0c5,2.123490954986433,0.0,0.0,0,2,1,300.00000000000006
0x002a63fb3bb81ccc222e2d8192eb95a5767a2151,1.1058755718750974,0.0,0.0,0,1,1,300.00000000000006
0x002aea16059a7d4bef638a03b61a9e80ef07e745,2085.940883981687,962.2995982105101,5.838228517532286e-07,0,41,6,300.00000000000506
0x002bb13a55bf4525f02717708dd4534ecc475193,3.1415513028579416,0.0,0.0,0,2,1,300.00000000000006
0x002c77a71d54e6da4b28690fe1676752a74a67eb,1.1597473478486582,0.0,0.0,0,1,1,300.00000000000006
0x002cd2707daccbd5f3f192a565fca0a2cea021a6,5.481559226287328,2.7225309172016465,2.7225309172016465,0,5,2,300.0000000000001
0x002d2715b179d0db3e17cc28317a98f2f65e6884,4.2428781850717096e+16,8025123175313169.0,7999493743368998.0,0,253,8,567.2380842433142
0x002d59b6a7b3483c8c1ef38c90cbe7790aeaea50,1.058311089277293,0.0,0.0,0,1,1,300.00000000000006
0x002dcc4d0ad0bdce1c444ad0bb4d51ac7e61d62b,8042.91989441287,4507.4620831285465,1386.1038316551258,0,29,4,300.0000000000224
0x002de04d579930686698abab5f48bda0b24fb9fc,53947.6768379992,43067.64650300531,43774.100999620496,0,85,7,300.00000000030286
0x002e5e69ae7c8999834ee24aeb5c26ad05433820,8185.806955103062,2495533267242660.5,2495533267242660.5,0,4,2,300.0
